time,disp_y_max,react_y_top,stress_vm_max
0,0,0,0
1,0.003125,401.06562914738,47.383642418191
1.5,0.0046875,601.57936179513,71.071079685402
2.1,0.0065625,842.179047719,99.49214750383
2.82,0.0088125,1130.8744896983,133.59187734175
3.684,0.0115125,1477.2742010323,174.50356305966
4.684,0.0146375,1878.1523725353,221.84417551761
5.684,0.0177625,2276.9191207398,238.95913869436
6.684,0.0208875,2668.9147562017,239.50618096968
7.684,0.0240125,3050.8755413189,240.16011176535
8.684,0.0271375,3419.4472622262,240.88034474113
9.684,0.0302625,3770.0177826885,241.66863147373
10.684,0.0333875,4088.3058122259,242.85177937535
11.684,0.0365125,4236.3972862476,245.05224736451
12.684,0.0396375,4256.5590601999,246.68565657657
13.684,0.0427625,4271.4423740223,248.32212099156
14.684,0.0458875,4284.3210723273,249.95408988982
15.684,0.0490125,4295.8449355132,251.57559734767
16.684,0.0521375,4306.4775645832,253.17496809262
17.684,0.0552625,4316.3669672433,254.75010022432
18.684,0.0583875,4325.64188572,256.30247026071
19.684,0.0615125,4334.3008409289,257.83323699983
20.684,0.0646375,4342.5682704804,259.32405000827
21.684,0.0677625,4350.4221387424,260.8183652271
22.684,0.0708875,4357.9685887787,262.30076958049
23.684,0.0740125,4365.2484284885,263.757191054
24.684,0.0771375,4372.2021554887,265.20852585733
25.684,0.0802625,4378.9762156468,266.63851563379
26.684,0.0833875,4385.5656855552,268.04310989087
27.684,0.0865125,4391.9940671382,269.42240850092
28.684,0.0896375,4398.3050128074,270.77951351185
29.684,0.0927625,4404.4593711613,272.10786366257
30.684,0.0958875,4410.4923937743,273.41791011142
31.684,0.0990125,4416.3937387558,274.70626471125
32,0.1,4418.232763081,275.1093536872
