time,disp_y_max,react_y_top,stress_vm_max
0,0,0,0
1,0.003125,401.06562921981,47.383642418154
1.5,0.0046875,601.57936179567,71.07107968541
2.1,0.0065625,842.17904771963,99.492147503809
2.82,0.0088125,1130.8744896981,133.59187734174
3.684,0.0115125,1477.2742010322,174.50356305966
4.684,0.0146375,1876.7934141241,200.19827295841
5.684,0.0177625,2268.8235364662,200.74613606776
6.684,0.0208875,2648.7117050198,201.41389132453
7.684,0.0240125,3011.5742523599,202.1555617926
8.684,0.0271375,3350.0345569453,203.00984627792
9.684,0.0302625,3626.0489795181,204.81605201598
10.684,0.0333875,3747.093922438,207.44729883889
11.684,0.0365125,3766.1842112806,210.0679354428
12.684,0.0396375,3782.1806819289,212.528519707
13.684,0.0427625,3796.3010601873,214.91402467217
14.684,0.0458875,3808.0930249997,217.02472416655
15.684,0.0490125,3818.6605694189,218.95110525203
16.684,0.0521375,3828.5500472277,220.78519701176
17.684,0.0552625,3837.7720266408,222.53432319287
18.684,0.0583875,3846.5377713787,224.22060614177
19.684,0.0615125,3854.966069836,225.85902160714
20.684,0.0646375,3863.1243215324,227.4593903216
21.684,0.0677625,3870.9321779629,229.01344034959
22.684,0.0708875,3878.4492519774,230.52817253547
23.684,0.0740125,3885.5495474165,231.99280411104
24.684,0.0771375,3892.409180249,233.41939443123
25.684,0.0802625,3899.0964152761,234.81310521473
26.684,0.0833875,3905.5938344434,236.17181661281
27.684,0.0865125,3911.9313277149,237.49941293228
28.684,0.0896375,3918.0336406432,238.77757132144
29.684,0.0927625,3923.9736486863,240.02431138414
30.684,0.0958875,3929.7753371774,241.24231519871
31.684,0.0990125,3935.4899400366,242.44049231463
32,0.1,3937.2826544437,242.81658510418
