time,disp_y_max,react_y_top,stress_vm_max
0,0,0,0
1,0.003125,290.28689383436,42.27208191112
1.5,0.0046875,435.41965341562,63.40408212618
2.1,0.0065625,609.56955430051,88.758927354262
2.82,0.0088125,818.53587880825,119.17962430592
3.684,0.0115125,1069.275937697,155.67709505444
4.684,0.0146375,1359.155536625,195.01049043296
5.684,0.0177625,1638.7920073517,200.38872366918
6.684,0.0208875,1894.8795629669,200.95928702876
7.684,0.0240125,2119.1195386299,201.59572830159
8.684,0.0271375,2304.2945038308,202.30236339611
9.684,0.0302625,2442.662123006,203.11088706859
10.684,0.0333875,2499.2771058066,204.19684814368
11.684,0.0365125,2521.4815495798,205.37386822339
12.684,0.0396375,2536.1652331653,206.85391751149
13.684,0.0427625,2548.6963145849,208.27584867632
14.684,0.0458875,2559.8420408381,209.65409628323
