time,disp_y_max,react_y_top
0,0,0
1,0.003125,290.40127646317
2,0.00625,580.78392092222
3,0.009375,871.14793337718
4,0.0125,1161.493313828
5,0.015625,1451.8200622747
6,0.01875,1742.1281787173
7,0.021875,2032.4176631558
8,0.025,2322.6885155901
9,0.028125,2612.9407360204
10,0.03125,2903.1743244465
11,0.034375,3193.3892808686
12,0.0375,3483.5856052866
13,0.040625,3773.7632977003
14,0.04375,4063.9223581101
15,0.046875,4354.0627865156
16,0.05,4644.1845829171
17,0.053125,4934.2877473145
18,0.05625,5224.3722797077
19,0.059375,5514.4381800968
20,0.0625,5804.4854484818
21,0.065625,6094.5140848627
22,0.06875,6384.5240892396
23,0.071875,6674.5154616123
24,0.075,6964.4882019809
25,0.078125,7254.442310345
26,0.08125,7544.3777867053
27,0.084375,7834.2946310615
28,0.0875,8124.1928434137
29,0.090625,8414.0724237617
30,0.09375,8703.9333721052
31,0.096875,8993.775688445
32,0.1,9283.5993727806
