time,disp_y_max,react_y_top
0,0,0
1,0.003125,432.7381743855
2,0.00625,865.45663288498
3,0.009375,1298.1553754985
4,0.0125,1730.8344022259
5,0.015625,2163.4937130673
6,0.01875,2596.1333080228
7,0.021875,3028.7531870922
8,0.025,3461.3533502755
9,0.028125,3893.9337975728
10,0.03125,4326.4945289841
11,0.034375,4759.0355445096
12,0.0375,5191.556844149
13,0.040625,5624.0584279021
14,0.04375,6056.5402957696
15,0.046875,6489.0024477506
16,0.05,6921.444883846
17,0.053125,7353.8676040553
18,0.05625,7786.2706083784
19,0.059375,8218.6538968157
20,0.0625,8651.0174693667
21,0.065625,9083.3613260318
22,0.06875,9515.6854668111
23,0.071875,9947.9898917044
24,0.075,10380.274600712
25,0.078125,10812.539593832
26,0.08125,11244.784871067
27,0.084375,11677.010432416
28,0.0875,12109.21627788
29,0.090625,12541.402407457
30,0.09375,12973.568821147
31,0.096875,13405.715518952
32,0.1,13837.842500872
