time,disp_y_max,react_y_top
0,0,0
1,0.003125,401.0763968333
2,0.00625,802.11561112464
3,0.009375,1203.1176441706
4,0.0125,1604.0824972677
5,0.015625,2005.0101717126
6,0.01875,2405.9006688019
7,0.021875,2806.7539898319
8,0.025,3207.5701360994
9,0.028125,3608.349108901
10,0.03125,4009.0909095331
11,0.034375,4409.7955392924
12,0.0375,4810.4629994755
13,0.040625,5211.0932913787
14,0.04375,5611.6864162989
15,0.046875,6012.2423755324
16,0.05,6412.761170376
17,0.053125,6813.2428021262
18,0.05625,7213.6872720793
19,0.059375,7614.0945815323
20,0.0625,8014.4647317815
21,0.065625,8414.7977241236
22,0.06875,8815.0935598551
23,0.071875,9215.3522402725
24,0.075,9615.5737666725
25,0.078125,10015.758140351
26,0.08125,10415.905362606
27,0.084375,10816.015434733
28,0.0875,11216.088358029
29,0.090625,11616.12413379
30,0.09375,12016.122763313
31,0.096875,12416.084247894
32,0.1,12816.008588831
