time,disp_y_max,react_y_top
0,0,0
1,0.003125,315.38061367444
2,0.00625,630.72842702846
3,0.009375,946.04344130336
4,0.0125,1261.3256577404
5,0.015625,1576.5750775809
6,0.01875,1891.7917020661
7,0.021875,2206.9755324374
8,0.025,2522.1265699359
9,0.028125,2837.2448158031
10,0.03125,3152.3302712802
11,0.034375,3467.3829376085
12,0.0375,3782.4028160292
13,0.040625,4097.3899077837
14,0.04375,4412.3442141133
15,0.046875,4727.2657362591
16,0.05,5042.1544754627
17,0.053125,5357.0104329652
18,0.05625,5671.8336100078
19,0.059375,5986.624007832
20,0.0625,6301.3816276789
21,0.065625,6616.10647079
22,0.06875,6930.7985384065
23,0.071875,7245.4578317696
24,0.075,7560.0843521206
25,0.078125,7874.6781007007
26,0.08125,8189.2390787516
27,0.084375,8503.7672875142
28,0.0875,8818.26272823
29,0.090625,9132.7254021402
30,0.09375,9447.1553104858
31,0.096875,9761.5524545086
32,0.1,10075.91683545
